frame,t,u,v,score,bbox_x,bbox_y,bbox_w,bbox_h,track_id,predicted
1,0.000,459.0,656.0,1.0,454,651,10,10,0,0
2,0.033,513.0,628.0,1.0,508,623,10,10,0,0
3,0.067,566.0,609.0,1.0,561,604,10,10,0,0
4,0.100,595.0,598.0,1.0,590,593,10,10,0,0
5,0.133,649.0,577.0,1.0,644,572,10,10,0,0
6,0.167,708.0,552.0,1.0,703,547,10,10,0,0
7,0.200,728.0,545.0,1.0,723,540,10,10,0,0
8,0.233,793.0,526.0,1.0,788,521,10,10,0,0
9,0.267,832.0,512.0,1.0,827,507,10,10,0,0
10,0.300,867.0,504.0,1.0,862,499,10,10,0,0
11,0.333,910.0,491.0,1.0,905,486,10,10,0,0
12,0.367,956.0,481.0,1.0,951,476,10,10,0,0
13,0.400,977.0,476.0,1.0,972,471,10,10,0,0
14,0.433,1022.0,465.0,1.0,1017,460,10,10,0,0
15,0.467,1067.0,459.0,1.0,1062,454,10,10,0,0
16,0.500,1086.0,456.0,1.0,1081,451,10,10,0,0
17,0.533,1126.0,451.0,1.0,1121,446,10,10,0,0
18,0.567,1164.0,444.0,1.0,1159,439,10,10,0,0
19,0.600,1176.0,444.0,1.0,1171,439,10,10,0,0
21,0.667,1254.0,438.0,1.0,1249,433,10,10,0,0
22,0.700,1268.0,436.0,1.0,1263,431,10,10,0,0
23,0.733,1302.0,436.0,1.0,1297,431,10,10,0,0
24,0.767,1336.0,436.0,1.0,1331,431,10,10,0,0
25,0.800,1353.0,436.0,1.0,1348,431,10,10,0,0
26,0.833,1385.0,438.0,1.0,1380,433,10,10,0,0
27,0.867,1411.0,443.0,1.0,1406,438,10,10,0,0
28,0.900,1428.0,444.0,1.0,1423,439,10,10,0,0
29,0.933,1459.0,449.0,1.0,1454,444,10,10,0,0
30,0.967,1483.0,454.0,1.0,1478,449,10,10,0,0
31,1.000,1496.0,456.0,1.0,1491,451,10,10,0,0
32,1.033,1523.0,464.0,1.0,1518,459,10,10,0,0
33,1.067,1545.0,468.0,1.0,1540,463,10,10,0,0
34,1.100,1558.0,475.0,1.0,1553,470,10,10,0,0
35,1.133,1576.0,480.0,1.0,1571,475,10,10,0,0
36,1.167,1585.0,481.0,1.0,1580,476,10,10,0,0
